symbol,symbol_raw,name,type,exchange
RAIZ4F.SA,RAIZ4F,Raizen SA Non-Cum Perp Pfd Registered Shs,stock,
M1RN34.SA,M1RN34,"Moderna, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.05 Sh",bdr,
XPCA11.SA,XPCA11,XP Credito Agricola Fundo de Investimento nas Cadeias Produtivas Fiagro Imobiliario,fund,
XPML11.SA,XPML11,XP Malls Fundo Investimento Imobiliario Investor,fund,
CPSH11.SA,CPSH11,Shoppings AAA Fundo de Investimento Imobiliario,fund,
NGRD3.SA,NGRD3,Neogrid Participacoes SA,stock,
KLBN4F.SA,KLBN4F,Klabin SA Non-Cum Perp Pfd Registered Shs,stock,
BLAU3.SA,BLAU3,Blau Farmaceutica SA,stock,
HCTR11.SA,HCTR11,Fundo de Investimento Imobiliario Hectare CE,fund,
VTRU3.SA,VTRU3,"Vitru Brasil Empreendimentos, Participacoes e Comercio S.A.",stock,
IRDM11.SA,IRDM11,Fundo de Investimento Imobiliario Iridium Recebiveis Imobiliarios,fund,
MSFT34.SA,MSFT34,Microsoft Corp Shs Unsponsored Brazilian Depository Receipt Repr 0.04167 Sh,bdr,
CMIG3.SA,CMIG3,Companhia Energetica de Minas Gerais SA,stock,
VIVR3.SA,VIVR3,Viver Incorporadora e Construtora S.A.,stock,
CMIG4F.SA,CMIG4F,Companhia Energetica de Minas Gerais SA Pfd,stock,
AZUL4F.SA,AZUL4F,Azul SA Pfd Registered Shs,stock,
BTLG11.SA,BTLG11,BTG Pactual Logistica Fundo de Investimento Imobiliario Responsabilidade Limitada,fund,
XRPH11.SA,XRPH11,Hashdex Nasdaq XRP Fundo De Indice,fund,
RNEW4.SA,RNEW4,Renova Energia S.A. Pfd,stock,
RIFF11.SA,RIFF11,Riff Fundo De Investimento Em Cotas De Fundos Incentivados De Investimento Em Infraestrutura Renda Fixa,fund,
CDII11.SA,CDII11,Sparta Infra CDI Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura RF Cred Priv,fund,
BITH11.SA,BITH11,Hashdex Nasdaq Bitcoin Reference Rate Fundo de Indice,fund,
VGRI11.SA,VGRI11,Valora Renda Imobiliaria Fundo De Investimento Imobiliario - Responsabilidade Limitada,fund,
COIN11.SA,COIN11,Buena Vista Neos Bitcoin High Income Index Fundo De Indice - Responsabilidade Limitada,fund,
VITT3.SA,VITT3,Vittia S.A.,stock,
RZTR11.SA,RZTR11,Fundo de Investimento Imobiliario Riza Terrax,fund,
KISU11.SA,KISU11,Klima Fundo de Investimento em Cotas de Fundos Imobiliarios Suno 30,fund,
DMVF3.SA,DMVF3,D1000 Varejo Farma Participacoes SA,stock,
TCSA3.SA,TCSA3,Tecnisa S.A.,stock,
G1DS34.SA,G1DS34,GDS Holdings Ltd. ADR A Unsponsored Brazilian Depositary Receipt Repr 0.1 ADR A,bdr,
MCLO11.SA,MCLO11,Maua Capital Logistica Fundo de Investimento Imobiliario Responsabilidade Limitada,fund,
AMBP3F.SA,AMBP3F,Ambipar Participacoes e Empreendimentos SA,stock,
BRAP3.SA,BRAP3,Bradespar S.A.,stock,
ITSA4F.SA,ITSA4F,Itausa SA Non-Cum Perp Pfd Registered Shs,stock,
MATD3.SA,MATD3,Hospital Mater Dei SA,stock,
CXSE3F.SA,CXSE3F,Caixa Seguridade Participacoes SA,stock,
